,Lead time,Transfers,Origin,Destination,Departure,Arrival,kg CO2e/TEU,Ports,Carriers
192,25 days,1,BRSSA,NLRTM,"['31 OCT', ' 07:00', 'UTC-03:00']","['25 NOV', ' 00:00', 'UTC+01:00']",1075,"[['SSA', 'SSZ'], ['SSZ', 'PTM', 'TNG', 'LGP', 'RTM']]","['Maersk', 'CMA CGM, Hamburg Sud, Maersk']"
193,26 days,1,BRSSA,NLRTM,"['28 OCT', ' 11:45', 'UTC-03:00']","['22 NOV', ' 23:00', 'UTC+01:00']",1420,"[['SSA', 'SUA', 'CTB'], ['CTB', 'RTM']]","['MSC', 'MSC']"
194,31 days,1,BRSSA,NLRTM,"['28 OCT', ' 11:45', 'UTC-03:00']","['28 NOV', ' 12:50', 'UTC+01:00']",1740,"[['SSA', 'SUA', 'CTB', 'CAU', 'FPO'], ['FPO', 'RTM']]","['MSC', 'MSC']"
195,22 days,2,BRSSA,NLRTM,"['1 NOV', ' 19:30', 'UTC-03:00']","['23 NOV', ' 00:01', 'UTC+01:00']",935,"[['SSA', 'PEC', 'PTM'], ['PTM', 'LEI'], ['LEI', 'VGO', 'RTM']]","['Hapag-Lloyd', 'Hapag-Lloyd', 'Hapag-Lloyd, W.E.C. Lines']"
196,27 days,2,BRSSA,NLRTM,"['28 OCT', ' 11:45', 'UTC-03:00']","['24 NOV', ' 12:51', 'UTC+01:00']",1645,"[['SSA', 'SUA', 'CTB', 'CAU'], ['CAU', 'ANR'], ['ANR', 'RTM']]","['MSC', 'MSC']"
197,18 days,1,BRSSA,BEANR,"['1 NOV', ' 19:30', 'UTC-03:00']","['19 NOV', ' 22:00', 'UTC+01:00']",825,"[['SSA', 'PEC', 'PTM', 'RTM'], ['RTM', 'ANR']]","['Hapag-Lloyd, MSC', 'MSC']"
198,24 days,1,BRSSA,BEANR,"['1 NOV', ' 19:30', 'UTC-03:00']","['25 NOV', ' 00:00', 'UTC+01:00']",830,"[['SSA', 'PEC', 'PTM', 'RTM'], ['RTM', 'ANR']]","['Hapag-Lloyd, MSC', 'Hapag-Lloyd, W.E.C. Lines']"
199,20 days,1,BRSSA,BEANR,"['9 NOV', ' 03:00', 'UTC-03:00']","['28 NOV', ' 14:00', 'UTC+01:00']",850,"[['SSA', 'PEC', 'PTM', 'RTM', 'LGP'], ['LGP', 'ANR']]","['Hapag-Lloyd, MSC', 'Hapag-Lloyd, ONE']"
200,15 days,1,BRSSA,BEANR,"['1 NOV', ' 19:30', 'UTC-03:00']","['16 NOV', ' 01:48', 'UTC+01:00']",865,"[['SSA', 'PEC', 'PTM', 'RTM'], ['RTM', 'ANR']]","['Hapag-Lloyd, MSC']"
201,24 days,1,BRSSA,BEANR,"['9 NOV', ' 03:00', 'UTC-03:00']","['2 DEC', ' 18:30', 'UTC+01:00']",985,"[['SSA', 'PEC', 'PTM', 'RTM', 'LGP', 'HAM'], ['HAM', 'ANR']]","['Hapag-Lloyd, MSC', 'Hapag-Lloyd']"
202,27 days,1,BRSSA,BEANR,"['9 NOV', ' 03:00', 'UTC-03:00']","['5 DEC', ' 22:00', 'UTC+01:00']",990,"[['SSA', 'PEC', 'PTM', 'RTM', 'LGP', 'HAM', 'BRV'], ['BRV', 'ANR']]","['Hapag-Lloyd, MSC', 'Hapag-Lloyd']"
