,Lead time,Transfers,Origin,Destination,Departure,Arrival,kg CO2e/TEU,Ports,Carriers
2864,21 days,3,COTRB,BEZEE,"['22 OCT', ' 13:16', 'UTC-05:00']","['12 NOV', ' 01:06', 'UTC+01:00']",1100,"[['TRB', 'CTG'], ['CTG', 'SMR'], ['SMR', 'ANR'], ['ANR', 'ZEE']]","['Evergreen, Maersk', 'Maersk']"
2865,18 days,2,COTRB,NLAMS,"['22 OCT', ' 11:00', 'UTC-05:00']","['9 NOV', ' 01:47', 'UTC+01:00']",945,"[['TRB', 'CTB'], ['CTB', 'RTM'], ['RTM', 'AMS']]","['MSC', 'MSC']"
2866,22 days,2,COTRB,NLAMS,"['26 OCT', ' 23:19', 'UTC-05:00']","['17 NOV', ' 05:58', 'UTC+01:00']",1185,"[['TRB', 'CTG'], ['CTG', 'CAU', 'HAL', 'SOU', 'LEH', 'RTM'], ['RTM', 'AMS']]","['CMA CGM, Hapag-Lloyd, ONE']"
2867,26 days,3,COTRB,NLAMS,"['22 OCT', ' 11:00', 'UTC-05:00']","['17 NOV', ' 08:22', 'UTC+01:00']",990,"[['TRB', 'CTB'], ['CTB', 'ANR'], ['ANR', 'RTM'], ['RTM', 'AMS']]","['MSC', 'MSC', 'Containerships, MSC']"
2868,18 days,3,COTRB,NLAMS,"['20 OCT', ' 18:16', 'UTC-05:00']","['7 NOV', ' 02:49', 'UTC+01:00']",1275,"[['TRB', 'CTG'], ['CTG', 'MIT'], ['MIT', 'ANR', 'RTM'], ['RTM', 'AMS']]","['COSCO, Maersk', 'Maersk']"
2869,18 days,3,COTRB,NLAMS,"['20 OCT', ' 07:16', 'UTC-05:00']","['7 NOV', ' 02:49', 'UTC+01:00']",1275,"[['TRB', 'CTG'], ['CTG', 'MIT'], ['MIT', 'ANR', 'RTM'], ['RTM', 'AMS']]","['Maersk', 'Maersk']"
2870,24 days,2,SRPBM,NLRTM,"['21 OCT', ' 15:00', 'UTC-03:00']","['14 NOV', ' 06:42', 'UTC+01:00']",1125,"[['PBM', 'POS'], ['POS', 'CTB'], ['CTB', 'RTM']]","['MSC', 'MSC', 'MSC']"
2871,30 days,2,SRPBM,NLRTM,"['16 OCT', ' 18:58', 'UTC-04:00']","['15 NOV', ' 15:00', 'UTC+01:00']",1835,"[['PBM', 'GEO'], ['GEO', 'POS', 'BGI', 'KIN'], ['KIN', 'SMR', 'MOB', 'CAU', 'LGP', 'RTM']]","['Hapag-Lloyd', 'Hapag-Lloyd']"
2872,27 days,3,SRPBM,NLRTM,"['26 OCT', ' 20:58', 'UTC-04:00']","['22 NOV', ' 07:00', 'UTC+01:00']",1485,"[['PBM', 'GEO'], ['GEO', 'PTS'], ['PTS', 'MIT'], ['MIT', 'CTG', 'CAU', 'RTM']]","['Hapag-Lloyd', 'Hapag-Lloyd', 'COSCO, Hapag-Lloyd, OOCL']"
2873,32 days,3,SRPBM,NLRTM,"['16 OCT', ' 18:58', 'UTC-04:00']","['17 NOV', ' 20:30', 'UTC+01:00']",1865,"[['PBM', 'GEO'], ['GEO', 'POS', 'BGI', 'KIN'], ['KIN', 'SMR', 'MOB', 'CAU', 'LGP'], ['LGP', 'RTM']]","['Hapag-Lloyd', 'Hapag-Lloyd', 'Hapag-Lloyd']"
2874,34 days,4,SRPBM,NLRTM,"['16 OCT', ' 18:58', 'UTC-04:00']","['19 NOV', ' 14:37', 'UTC+01:00']",1950,"[['PBM', 'GEO'], ['GEO', 'POS', 'BGI', 'KIN'], ['KIN', 'SMR', 'MOB', 'CAU', 'LGP'], ['LGP', 'ANR'], ['ANR', 'RTM']]","['Hapag-Lloyd', 'Hapag-Lloyd', 'Hapag-Lloyd']"
2875,22 days,2,SRPBM,BEANR,"['21 OCT', ' 15:00', 'UTC-03:00']","['11 NOV', ' 22:00', 'UTC+01:00']",1125,"[['PBM', 'POS'], ['POS', 'CTB'], ['CTB', 'ANR']]","['MSC', 'MSC', 'MSC']"
2876,37 days,2,SRPBM,BEANR,"['19 OCT', ' 18:00', 'UTC-03:00']","['25 NOV', ' 00:00', 'UTC+01:00']",1185,"[['PBM', 'PTS', 'MIT'], ['MIT', 'CTG', 'CAU', 'RTM'], ['RTM', 'ANR']]","['Hapag-Lloyd, Maersk', 'CMA CGM, COSCO, Hapag-Lloyd, OOCL', 'Hapag-Lloyd']"
2877,32 days,2,SRPBM,BEANR,"['16 OCT', ' 18:58', 'UTC-04:00']","['17 NOV', ' 06:00', 'UTC+01:00']",1860,"[['PBM', 'GEO'], ['GEO', 'POS', 'BGI', 'KIN'], ['KIN', 'SMR', 'MOB', 'CAU', 'LGP', 'RTM', 'ANR']]","['Hapag-Lloyd', 'Hapag-Lloyd']"
