,Lead time,Transfers,Origin,Destination,Departure,Arrival,kg CO2e/TEU,Ports,Carriers
1323,32 days,2,VNVUT,NLVLI,"['19 OCT', ' 23:22', 'UTC+07:00']","['20 NOV', ' 01:23', 'UTC+01:00']",975,"[['VUT', 'CMT'], ['CMT', 'SUZ', 'PIR', 'HAM', 'RTM', 'ZEE'], ['ZEE', 'VLI']]",['Evergreen']
1324,25 days,2,VNVUT,NLVLI,"['20 OCT', ' 08:10', 'UTC+07:00']","['13 NOV', ' 04:22', 'UTC+01:00']",990,"[['VUT', 'SIN'], ['SIN', 'SUZ', 'RTM'], ['RTM', 'VLI']]","['Hapag-Lloyd, HMM, YML', 'Hapag-Lloyd, ONE, YML']"
1325,30 days,2,VNVUT,NLVLI,"['19 OCT', ' 23:22', 'UTC+07:00']","['18 NOV', ' 02:17', 'UTC+01:00']",990,"[['VUT', 'CMT'], ['CMT', 'SUZ', 'PIR', 'HAM', 'RTM'], ['RTM', 'VLI']]",['Evergreen']
1326,37 days,2,VNVUT,NLVLI,"['23 OCT', ' 22:00', 'UTC+07:00']","['28 NOV', ' 23:32', 'UTC+01:00']",1015,"[['VUT', 'RTM', 'BRV'], ['BRV', 'ANR'], ['ANR', 'VLI']]","['Hapag-Lloyd', 'Hapag-Lloyd']"
1327,36 days,2,VNVUT,NLVLI,"['18 OCT', ' 04:10', 'UTC+07:00']","['21 NOV', ' 23:38', 'UTC+01:00']",1045,"[['VUT', 'SIN', 'CMB', 'SUZ', 'RTM', 'HAM'], ['HAM', 'ANR'], ['ANR', 'VLI']]","['Hapag-Lloyd, HMM, YML', 'CMA CGM, Hapag-Lloyd']"
1328,36 days,2,VNVUT,NLVLI,"['18 OCT', ' 04:10', 'UTC+07:00']","['22 NOV', ' 07:35', 'UTC+01:00']",1105,"[['VUT', 'SIN', 'CMB', 'SUZ', 'RTM'], ['RTM', 'HAM', 'ANR'], ['ANR', 'VLI']]","['Hapag-Lloyd, HMM, YML', 'Hapag-Lloyd, ONE, YML']"
1329,35 days,3,VNVUT,NLVLI,"['21 OCT', ' 23:22', 'UTC+07:00']","['25 NOV', ' 01:38', 'UTC+01:00']",1020,"[['VUT', 'CMT'], ['CMT', 'SIN'], ['SIN', 'SUZ', 'PIR', 'ANR'], ['ANR', 'VLI']]","['Evergreen', 'CMA CGM, Evergreen']"
1330,30 days,3,VNVUT,NLVLI,"['20 OCT', ' 08:10', 'UTC+07:00']","['18 NOV', ' 17:36', 'UTC+01:00']",1035,"[['VUT', 'SIN'], ['SIN', 'SUZ', 'RTM'], ['RTM', 'ANR'], ['ANR', 'VLI']]","['Hapag-Lloyd, HMM, YML', 'Hapag-Lloyd, ONE, YML', 'Hapag-Lloyd, W.E.C. Lines']"
1331,31 days,3,VNVUT,NLVLI,"['18 OCT', ' 21:51', 'UTC+07:00']","['18 NOV', ' 02:06', 'UTC+01:00']",1060,"[['VUT', 'SGN'], ['SGN', 'SIN'], ['SIN', 'SUZ', 'PTM', 'TNG', 'RTM'], ['RTM', 'VLI']]","['CMA CGM', 'CMA CGM, COSCO, Evergreen, OOCL']"
1332,27 days,1,VNVUT,BEZEE,"['23 OCT', ' 22:00', 'UTC+07:00']","['19 NOV', ' 11:09', 'UTC+01:00']",915,"[['VUT', 'RTM'], ['RTM', 'ZEE']]",['Hapag-Lloyd']
1333,26 days,1,VNVUT,BEZEE,"['18 OCT', ' 04:10', 'UTC+07:00']","['12 NOV', ' 11:28', 'UTC+01:00']",925,"[['VUT', 'SIN', 'CMB', 'SUZ', 'RTM'], ['RTM', 'ZEE']]","['Hapag-Lloyd, HMM, YML']"
1334,32 days,1,VNVUT,BEZEE,"['19 OCT', ' 23:22', 'UTC+07:00']","['20 NOV', ' 00:00', 'UTC+01:00']",925,"[['VUT', 'CMT'], ['CMT', 'SUZ', 'PIR', 'HAM', 'RTM', 'ZEE']]",['Evergreen']
1335,33 days,1,VNVUT,BEZEE,"['18 OCT', ' 04:10', 'UTC+07:00']","['19 NOV', ' 06:53', 'UTC+01:00']",975,"[['VUT', 'SIN', 'CMB', 'SUZ', 'RTM', 'HAM', 'ANR'], ['ANR', 'ZEE']]","['Hapag-Lloyd, HMM, YML']"
1336,32 days,2,VNVUT,BEZEE,"['23 OCT', ' 22:00', 'UTC+07:00']","['24 NOV', ' 06:43', 'UTC+01:00']",960,"[['VUT', 'RTM'], ['RTM', 'ANR'], ['ANR', 'ZEE']]","['Hapag-Lloyd', 'Hapag-Lloyd']"
1337,32 days,2,VNVUT,BEZEE,"['18 OCT', ' 04:10', 'UTC+07:00']","['18 NOV', ' 18:42', 'UTC+01:00']",970,"[['VUT', 'SIN', 'CMB', 'SUZ', 'RTM'], ['RTM', 'ANR'], ['ANR', 'ZEE']]","['Hapag-Lloyd, HMM, YML', 'Hapag-Lloyd, W.E.C. Lines']"
1338,25 days,2,VNVUT,BEZEE,"['20 OCT', ' 08:10', 'UTC+07:00']","['13 NOV', ' 05:28', 'UTC+01:00']",1020,"[['VUT', 'SIN'], ['SIN', 'SUZ', 'RTM'], ['RTM', 'ZEE']]","['Hapag-Lloyd, HMM, YML', 'Hapag-Lloyd, ONE, YML']"
1339,30 days,2,VNVUT,BEZEE,"['19 OCT', ' 23:22', 'UTC+07:00']","['18 NOV', ' 03:22', 'UTC+01:00']",1020,"[['VUT', 'CMT'], ['CMT', 'SUZ', 'PIR', 'HAM', 'RTM'], ['RTM', 'ZEE']]",['Evergreen']
